City,Created,Applicable Date,Wind Speed,Temperature
Madrid,2022-05-01 00:00:00,2022-05-01 00:00:00,6.837,22.874
Madrid,2022-04-30 00:00:00,2022-05-01 00:00:00,6.769,22.645
Madrid,2022-04-29 00:00:00,2022-05-01 00:00:00,6.974,23.331
Madrid,2022-04-28 00:00:00,2022-05-01 00:00:00,7.042,23.56
Madrid,2022-04-27 00:00:00,2022-05-01 00:00:00,6.564,23.789
Madrid,2022-04-26 00:00:00,2022-05-01 00:00:00,7.179,21.73
Madrid,2022-04-25 00:00:00,2022-05-01 00:00:00,7.247,24.246
Madrid,2022-04-24 00:00:00,2022-05-01 00:00:00,6.358,24.475
Madrid,2022-04-23 00:00:00,2022-05-01 00:00:00,7.384,24.704
Madrid,2022-04-22 00:00:00,2022-05-01 00:00:00,6.222,20.815
Madrid,2022-04-21 00:00:00,2022-05-01 00:00:00,7.521,25.161
Madrid,2022-04-20 00:00:00,2022-05-01 00:00:00,6.085,25.39
Madrid,2022-04-19 00:00:00,2022-05-01 00:00:00,6.017,25.619
Madrid,2022-04-18 00:00:00,2022-05-01 00:00:00,7.726,25.848
Madrid,2022-04-17 00:00:00,2022-05-01 00:00:00,5.88,26.076
Madrid,2022-05-02 00:00:00,2022-05-02 00:00:00,9.366,15.946
Madrid,2022-05-01 00:00:00,2022-05-02 00:00:00,9.272,16.105
Madrid,2022-04-30 00:00:00,2022-05-02 00:00:00,9.553,16.265
Madrid,2022-04-29 00:00:00,2022-05-02 00:00:00,9.085,15.468
Madrid,2022-04-28 00:00:00,2022-05-02 00:00:00,9.741,16.584
Madrid,2022-04-27 00:00:00,2022-05-02 00:00:00,9.834,16.743
Madrid,2022-04-26 00:00:00,2022-05-02 00:00:00,9.928,16.903
Madrid,2022-04-25 00:00:00,2022-05-02 00:00:00,8.71,14.83
Madrid,2022-04-24 00:00:00,2022-05-02 00:00:00,8.617,14.67
Madrid,2022-04-23 00:00:00,2022-05-02 00:00:00,10.209,14.511
Madrid,2022-04-22 00:00:00,2022-05-02 00:00:00,8.429,14.351
Madrid,2022-04-21 00:00:00,2022-05-02 00:00:00,10.396,17.7
Madrid,2022-04-20 00:00:00,2022-05-02 00:00:00,8.242,17.86
Madrid,2022-04-19 00:00:00,2022-05-02 00:00:00,8.148,18.019
Madrid,2022-04-18 00:00:00,2022-05-02 00:00:00,10.677,13.714
Madrid,2022-05-03 00:00:00,2022-05-03 00:00:00,19.025,14.059
